K,n,min_support,max_support,beta,avg_row_support,s_eff,rate,rep,predictor,loss
100,8948,2,10,1.0,5.78,571.7001056648003,0.4863601645622837,1,adaptive,0.14941176467145323
100,8948,2,10,1.0,5.78,571.7001056648003,0.4863601645622837,1,cesaro,0.39213696184278035
100,8948,2,10,1.0,5.78,571.7001056648003,0.4863601645622837,1,support-oracle,0.025879128183986414
100,9474,2,10,1.0,5.78,571.9763970796064,0.46296951700985195,1,MLE,0.020312304733980983
100,9474,2,10,1.0,5.78,571.9763970796064,0.46296951700985195,1,add-one,0.8786503126870115
100,9474,2,10,1.0,5.78,571.9763970796064,0.46296951700985195,1,add-half,0.5534127302781155
100,9474,2,10,1.0,5.78,571.9763970796064,0.46296951700985195,1,adaptive,0.09059571285527104
100,9474,2,10,1.0,5.78,571.9763970796064,0.46296951700985195,1,cesaro,0.23876330591856462
100,9474,2,10,1.0,5.78,571.9763970796064,0.46296951700985195,1,support-oracle,0.020608199793349602
100,10000,2,10,1.0,5.78,572.2526884944125,0.4418660253128393,1,MLE,0.008591874414173844
100,10000,2,10,1.0,5.78,572.2526884944125,0.4418660253128393,1,add-one,0.2430330082015999
100,10000,2,10,1.0,5.78,572.2526884944125,0.4418660253128393,1,add-half,0.13420417947879165
100,10000,2,10,1.0,5.78,572.2526884944125,0.4418660253128393,1,adaptive,0.03265704560593545
100,10000,2,10,1.0,5.78,572.2526884944125,0.4418660253128393,1,cesaro,0.10484410629135875
100,10000,2,10,1.0,5.78,572.2526884944125,0.4418660253128393,1,support-oracle,0.008085719243394457
100,10,2,10,10.0,5.95,9.87445361648307,8.820872626900021,1,MLE,0.019218596379924284
100,10,2,10,10.0,5.95,9.87445361648307,8.820872626900021,1,add-one,3.914911079942367
100,10,2,10,10.0,5.95,9.87445361648307,8.820872626900021,1,add-half,3.519693843992441
100,10,2,10,10.0,5.95,9.87445361648307,8.820872626900021,1,adaptive,0.6799609088178601
100,10,2,10,10.0,5.95,9.87445361648307,8.820872626900021,1,cesaro,1.8371165183495235
100,10,2,10,10.0,5.95,9.87445361648307,8.820872626900021,1,support-oracle,0.28101539182806073
100,536,2,10,10.0,5.95,38.98309335876066,0.7395309861628113,1,MLE,0.019218596379924284
100,536,2,10,10.0,5.95,38.98309335876066,0.7395309861628113,1,add-one,0.8380408717129064
100,536,2,10,10.0,5.95,38.98309335876066,0.7395309861628113,1,add-half,0.5066258415638782
100,536,2,10,10.0,5.95,38.98309335876066,0.7395309861628113,1,adaptive,0.01424146552421936
100,536,2,10,10.0,5.95,38.98309335876066,0.7395309861628113,1,cesaro,0.06542499788483806
100,536,2,10,10.0,5.95,38.98309335876066,0.7395309861628113,1,support-oracle,0.0038323894951519675
100,1062,2,10,10.0,5.95,48.21675504332409,0.4733975684167132,1,MLE,0.01949630372784117
100,1062,2,10,10.0,5.95,48.21675504332409,0.4733975684167132,1,add-one,0.5064968893050504
100,1062,2,10,10.0,5.95,48.21675504332409,0.4733975684167132,1,add-half,0.28538188033381956
100,1062,2,10,10.0,5.95,48.21675504332409,0.4733975684167132,1,adaptive,0.00824990656497163
100,1062,2,10,10.0,5.95,48.21675504332409,0.4733975684167132,1,cesaro,0.0374264944414382
100,1062,2,10,10.0,5.95,48.21675504332409,0.4733975684167132,1,support-oracle,0.014394686454208676
100,1587,2,10,10.0,5.95,53.85058167473407,0.3599375146461141,1,MLE,0.01949630372784117
100,1587,2,10,10.0,5.95,53.85058167473407,0.3599375146461141,1,add-one,0.3634258035874804
100,1587,2,10,10.0,5.95,53.85058167473407,0.3599375146461141,1,add-half,0.1981663916264031
100,1587,2,10,10.0,5.95,53.85058167473407,0.3599375146461141,1,adaptive,0.006420183825284819
100,1587,2,10,10.0,5.95,53.85058167473407,0.3599375146461141,1,cesaro,0.02679048304444556
100,1587,2,10,10.0,5.95,53.85058167473407,0.3599375146461141,1,support-oracle,0.00922959571372918
100,2113,2,10,10.0,5.95,57.60424260103721,0.29331033333975903,1,MLE,0.019218596379924284
100,2113,2,10,10.0,5.95,57.60424260103721,0.29331033333975903,1,add-one,0.28383134276732136
100,2113,2,10,10.0,5.95,57.60424260103721,0.29331033333975903,1,add-half,0.151930066147097
100,2113,2,10,10.0,5.95,57.60424260103721,0.29331033333975903,1,adaptive,0.0056290545974211036
100,2113,2,10,10.0,5.95,57.60424260103721,0.29331033333975903,1,cesaro,0.021360880034119564
100,2113,2,10,10.0,5.95,57.60424260103721,0.29331033333975903,1,support-oracle,0.00017115976330892566
100,2639,2,10,10.0,5.95,60.43372322302473,0.24927825695399808,1,MLE,0.0030115268544511336
100,2639,2,10,10.0,5.95,60.43372322302473,0.24927825695399808,1,add-one,0.23705326114617206
100,2639,2,10,10.0,5.95,60.43372322302473,0.24927825695399808,1,add-half,0.1268640465322982
100,2639,2,10,10.0,5.95,60.43372322302473,0.24927825695399808,1,adaptive,0.007975400109816025
100,2639,2,10,10.0,5.95,60.43372322302473,0.24927825695399808,1,cesaro,0.018559522929104642
100,2639,2,10,10.0,5.95,60.43372322302473,0.24927825695399808,1,support-oracle,0.009081010875914898
100,3165,2,10,10.0,5.95,62.40124076451183,0.21693704380631373,1,MLE,0.0007351914610811461
100,3165,2,10,10.0,5.95,62.40124076451183,0.21693704380631373,1,add-one,0.20013817498950895
100,3165,2,10,10.0,5.95,62.40124076451183,0.21693704380631373,1,add-half,0.10532630087605366
100,3165,2,10,10.0,5.95,62.40124076451183,0.21693704380631373,1,adaptive,0.004840281879585945
