K,n,min_support,max_support,beta,avg_row_support,s_eff,rate,rep,predictor,loss
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,24,adaptive,1.0991013734345676
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,24,cesaro,1.1571330682700598
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,24,support-oracle,0.18869430700045656
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,25,MLE,11.820089896097825
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,25,add-one,1.0458502972148909
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,25,add-half,0.9648037235223985
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,25,adaptive,0.9415510565682119
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,25,cesaro,1.1636978197889218
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,25,support-oracle,0.1763463631581282
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,26,MLE,15.88297408319651
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,26,add-one,0.874033721728303
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,26,add-half,0.8603529299669768
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,26,adaptive,1.0481594236880218
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,26,cesaro,1.0839535139564411
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,26,support-oracle,0.2116575119778654
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,27,MLE,15.002978957368777
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,27,add-one,0.8221518761836705
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,27,add-half,0.796501069322871
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,27,adaptive,0.9008790087030788
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,27,cesaro,0.9203371775214351
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,27,support-oracle,0.16307312346454822
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,28,MLE,18.230030988173315
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,28,add-one,0.8444193761670016
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,28,add-half,0.8424125444806964
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,28,adaptive,1.1210713660042362
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,28,cesaro,1.171782307957405
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,28,support-oracle,0.1655258847925312
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,29,MLE,13.008882752013267
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,29,add-one,1.5898942599499954
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,29,add-half,1.4759892480903218
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,29,adaptive,1.4359612532180461
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,29,cesaro,1.6165802690135238
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,29,support-oracle,0.2828861160012898
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,30,MLE,17.94774023669654
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,30,add-one,1.0145178191690956
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,30,add-half,0.9923672468443103
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,30,adaptive,1.2116185379242885
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,30,cesaro,1.2402279252742254
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,30,support-oracle,0.15350825510297067
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,31,MLE,8.382038155476184
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,31,add-one,2.2744264684746605
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,31,add-half,2.0240560016996363
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,31,adaptive,1.3330607250522555
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,31,cesaro,1.395030055794729
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,31,support-oracle,0.19592888830070632
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,32,MLE,19.195886496046977
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,32,add-one,1.095294370808867
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,32,add-half,1.0718770302935396
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,32,adaptive,1.308521202407921
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,32,cesaro,1.167810911822293
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,32,support-oracle,0.11457827469200768
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,33,MLE,18.693477063636863
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,33,add-one,1.0263056240811406
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,33,add-half,1.0085640949598005
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,33,adaptive,1.2723687142457927
100,1000,2,40,0.0,20.01,885.3385605842279,4.024886676778155,33,cesaro,1.185797639812197
