K,n,max_support,avg_row_support,s_eff,rate,rep,predictor,loss
100,500,2,1.44,52.05862499999999,0.9912178238741882,21,adaptive,0.2315090425360118
100,500,2,1.44,52.05862499999999,0.9912178238741882,21,cesaro,0.4174983683607726
100,500,2,1.44,52.05862499999999,0.9912178238741882,21,support-oracle,0.087176693572389
100,500,2,1.44,52.05862499999999,0.9912178238741882,22,MLE,9.900613662729377e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,22,add-one,1.3862943611198906
100,500,2,1.44,52.05862499999999,0.9912178238741882,22,add-half,0.9254791579285613
100,500,2,1.44,52.05862499999999,0.9912178238741882,22,adaptive,0.030459207484708574
100,500,2,1.44,52.05862499999999,0.9912178238741882,22,cesaro,0.19452738869011282
100,500,2,1.44,52.05862499999999,0.9912178238741882,22,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,23,MLE,9.800271705273644e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,23,add-one,1.7749523509116738
100,500,2,1.44,52.05862499999999,0.9912178238741882,23,add-half,1.2750687260096663
100,500,2,1.44,52.05862499999999,0.9912178238741882,23,adaptive,0.10314075891951346
100,500,2,1.44,52.05862499999999,0.9912178238741882,23,cesaro,0.29596891687413807
100,500,2,1.44,52.05862499999999,0.9912178238741882,23,support-oracle,0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,24,MLE,0.03226926066678559
100,500,2,1.44,52.05862499999999,0.9912178238741882,24,add-one,1.8885402996195775
100,500,2,1.44,52.05862499999999,0.9912178238741882,24,add-half,1.3849188444339458
100,500,2,1.44,52.05862499999999,0.9912178238741882,24,adaptive,0.14738939984749522
100,500,2,1.44,52.05862499999999,0.9912178238741882,24,cesaro,0.3138594258578059
100,500,2,1.44,52.05862499999999,0.9912178238741882,24,support-oracle,0.028477446463736178
100,500,2,1.44,52.05862499999999,0.9912178238741882,25,MLE,9.800071865129212e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,25,add-one,1.7749523509116738
100,500,2,1.44,52.05862499999999,0.9912178238741882,25,add-half,1.2750687260096663
100,500,2,1.44,52.05862499999999,0.9912178238741882,25,adaptive,0.10314075891951346
100,500,2,1.44,52.05862499999999,0.9912178238741882,25,cesaro,0.3948019634002212
100,500,2,1.44,52.05862499999999,0.9912178238741882,25,support-oracle,0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,26,MLE,9.900746889492345e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,26,add-one,1.5119825762833874
100,500,2,1.44,52.05862499999999,0.9912178238741882,26,add-half,1.0296194171811581
100,500,2,1.44,52.05862499999999,0.9912178238741882,26,adaptive,0.035997342370679614
100,500,2,1.44,52.05862499999999,0.9912178238741882,26,cesaro,0.14070493162920125
100,500,2,1.44,52.05862499999999,0.9912178238741882,26,support-oracle,-0.0
100,500,2,1.44,52.05862499999999,0.9912178238741882,27,MLE,0.005025168024754723
100,500,2,1.44,52.05862499999999,0.9912178238741882,27,add-one,1.7005986908310775
100,500,2,1.44,52.05862499999999,0.9912178238741882,27,add-half,1.208528644501564
100,500,2,1.44,52.05862499999999,0.9912178238741882,27,adaptive,0.09831720389872023
100,500,2,1.44,52.05862499999999,0.9912178238741882,27,cesaro,0.3026035382830723
100,500,2,1.44,52.05862499999999,0.9912178238741882,27,support-oracle,0.004555840175627934
100,500,2,1.44,52.05862499999999,0.9912178238741882,28,MLE,0.08717669367039282
100,500,2,1.44,52.05862499999999,0.9912178238741882,28,add-one,1.7673643871433389
100,500,2,1.44,52.05862499999999,0.9912178238741882,28,add-half,1.2823726483253535
100,500,2,1.44,52.05862499999999,0.9912178238741882,28,adaptive,0.18010920233478378
100,500,2,1.44,52.05862499999999,0.9912178238741882,28,cesaro,0.26324823551573096
100,500,2,1.44,52.05862499999999,0.9912178238741882,28,support-oracle,0.07839984399941757
100,500,2,1.44,52.05862499999999,0.9912178238741882,29,MLE,9.900236186900967e-11
100,500,2,1.44,52.05862499999999,0.9912178238741882,29,add-one,2.088330489097082
