K,n,max_support,avg_row_support,s_eff,rate,predictor,mean_loss,se_loss,median_loss,mean_ratio_to_rate,reps
200,1000,5,3.07,487.3366434624844,3.4729947084852157,cesaro,1.248116006645114,0.09580034441758244,0.8874343010005221,0.3593774570389407,100
200,1000,5,3.07,487.3366434624844,3.4729947084852157,support-oracle,0.10708414018792625,0.012041937522717946,0.07880620792249093,0.03083337268735205,100
100,1000,20,10.71,737.0684860213983,3.6210214295976195,MLE,7.978209393793704,0.6431744680523667,8.97176507285852,2.203303556444368,100
100,1000,20,10.71,737.0684860213983,3.6210214295976195,adaptive,1.026517221641528,0.05817254470217721,1.1177951007342255,0.28348830339719866,100
100,1000,20,10.71,737.0684860213983,3.6210214295976195,add-half,1.5528291241307206,0.02661585068938032,1.540445040947149,0.4288373196132331,100
100,1000,20,10.71,737.0684860213983,3.6210214295976195,add-one,1.8049925524985582,0.031417000572361284,1.795912269113541,0.49847607576824954,100
100,1000,20,10.71,737.0684860213983,3.6210214295976195,cesaro,1.206313341481978,0.04998834309493842,1.2899028182491477,0.3331417294638954,100
100,1000,20,10.71,737.0684860213983,3.6210214295976195,support-oracle,0.168417167665567,0.009902897815374815,0.18408397580438673,0.046510955800745456,100
200,2000,20,10.85,1485.932074382761,4.153137178401278,MLE,8.777417705204222,0.6227774937404861,9.169608922842844,2.1134427610173545,100
200,2000,20,10.85,1485.932074382761,4.153137178401278,adaptive,1.338304049679146,0.07436925935632557,1.4379359811726653,0.3222393078271297,100
200,2000,20,10.85,1485.932074382761,4.153137178401278,add-half,2.09091767889474,0.034612207423595664,2.068035164818748,0.5034550001788346,100
200,2000,20,10.85,1485.932074382761,4.153137178401278,add-one,2.36323431286461,0.03499401477056043,2.290937193463825,0.5690238996089027,100
200,2000,20,10.85,1485.932074382761,4.153137178401278,cesaro,1.507226709897052,0.06563848325225229,1.648143819380354,0.3629128163007726,100
