K,n,min_support,max_support,beta,avg_row_support,s_eff,rate,predictor,mean_loss,se_loss,median_loss,mean_ratio_to_rate,reps
100,1000,2,40,1.0,21.05,709.9657340283023,3.5410692812343316,oracle,0.2442349015119981,0.014880744749681271,0.23324399880936542,0.0689720765437449,100
200,1000,2,40,2.0,19.43,506.4365755785363,3.5701711417236934,MLE,5.566538659986538,0.41091107555170936,4.930465223382656,1.559179781308464,100
200,1000,2,40,2.0,19.43,506.4365755785363,3.5701711417236934,adaptive,1.2004154168489318,0.0992513361172917,0.8390073449763494,0.3362346983370008,100
200,1000,2,40,2.0,19.43,506.4365755785363,3.5701711417236934,add-half,2.6159785974062517,0.06419849429056351,2.519452118236276,0.7327319877845537,100
200,1000,2,40,2.0,19.43,506.4365755785363,3.5701711417236934,add-one,2.9750699136228964,0.053760387956570475,2.9006638233099498,0.8333129689089696,100
200,1000,2,40,2.0,19.43,506.4365755785363,3.5701711417236934,cesaro,1.388302023850378,0.09549697836892193,1.1281396649081405,0.3888614771503923,100
200,1000,2,40,2.0,19.43,506.4365755785363,3.5701711417236934,oracle,0.6452190130141112,0.046217263257595245,0.6284091186924303,0.18072495334288002,100
100,1000,2,40,0.5,19.13,784.3544058262853,3.755782022493688,MLE,10.082631323801989,0.6803828513507044,11.98453346131624,2.6845624329144444,100
100,1000,2,40,0.5,19.13,784.3544058262853,3.755782022493688,adaptive,1.0149352904772557,0.05297726732771809,1.0254714007921355,0.27023274630921723,100
100,1000,2,40,0.5,19.13,784.3544058262853,3.755782022493688,add-half,1.309564308937717,0.04164929329736041,1.2062114868814948,0.34867952961450593,100
100,1000,2,40,0.5,19.13,784.3544058262853,3.755782022493688,add-one,1.498980788925259,0.049301972451776775,1.4017820191372623,0.3991128292184529,100
100,1000,2,40,0.5,19.13,784.3544058262853,3.755782022493688,cesaro,1.1408578599215327,0.040209406164115294,1.1263695594984442,0.30376040278398503,100
100,1000,2,40,0.5,19.13,784.3544058262853,3.755782022493688,oracle,0.1822839581717294,0.011391244711271372,0.1631813150667276,0.04853422192236284,100
100,500,2,40,1.5,20.29,339.3509576441162,3.916706480961041,MLE,8.437039447008763,0.5340455346358545,7.076362345140522,2.1541158338060016,100
100,500,2,40,1.5,20.29,339.3509576441162,3.916706480961041,adaptive,1.2540743743586709,0.08057583898973521,0.9849170467548543,0.320185947161136,100
100,500,2,40,1.5,20.29,339.3509576441162,3.916706480961041,add-half,1.8295499689215662,0.054807182247654754,1.6792745181358515,0.4671143926191401,100
100,500,2,40,1.5,20.29,339.3509576441162,3.916706480961041,add-one,2.070646019444881,0.04667301081292895,1.9854197382756338,0.5286702053141361,100
100,500,2,40,1.5,20.29,339.3509576441162,3.916706480961041,cesaro,1.3797296740400387,0.07249439740888411,1.1536029233733156,0.35226782521152694,100
100,500,2,40,1.5,20.29,339.3509576441162,3.916706480961041,oracle,0.5167060765243775,0.03139919812011211,0.4804730435977135,0.1319236146584039,100
200,2000,2,40,1.0,20.73,1415.4891233388419,4.024997359598082,MLE,8.861853788591038,0.5001932291615663,8.626791624974805,2.201704248937928,100
200,2000,2,40,1.0,20.73,1415.4891233388419,4.024997359598082,adaptive,1.2751769841698535,0.06094166402062588,1.2227888875221609,0.31681436538810226,100
200,2000,2,40,1.0,20.73,1415.4891233388419,4.024997359598082,add-half,2.012773696054692,0.043466871264985794,1.8897422928659793,0.50006832706486,100
200,2000,2,40,1.0,20.73,1415.4891233388419,4.024997359598082,add-one,2.2798174410788024,0.044550061346156834,2.1481208732262074,0.5664146426437543,100
200,2000,2,40,1.0,20.73,1415.4891233388419,4.024997359598082,cesaro,1.4654985393246793,0.05417320744053761,1.4327934445129844,0.3640992548305715,100
200,2000,2,40,1.0,20.73,1415.4891233388419,4.024997359598082,oracle,0.26305417423579674,0.01588509337647178,0.23831967834745232,0.06535511721728536,100
100,1000,2,40,0.0,21.13,897.8327144764077,4.056523236675308,MLE,13.283545397884403,0.5676637941396099,14.632644012784933,3.274613412241041,100
100,1000,2,40,0.0,21.13,897.8327144764077,4.056523236675308,adaptive,1.1975245540780577,0.031098876859913784,1.2096711765415762,0.2952095881643559,100
100,1000,2,40,0.0,21.13,897.8327144764077,4.056523236675308,add-half,1.2545367444433249,0.029170311110012732,1.2364919829576924,0.30926403504877553,100
100,1000,2,40,0.0,21.13,897.8327144764077,4.056523236675308,add-one,1.3654238419409888,0.03708000669725338,1.3269637234621139,0.3365995366663001,100
100,1000,2,40,0.0,21.13,897.8327144764077,4.056523236675308,cesaro,1.2863745514856728,0.022922039893404723,1.268854258512449,0.3171125805111804,100
100,1000,2,40,0.0,21.13,897.8327144764077,4.056523236675308,oracle,0.18415418921392301,0.0065186792989446645,0.17574700202268662,0.04539705024957634,100
200,1000,2,40,1.5,22.035,678.514715606615,4.386311084106946,MLE,8.752764091863162,0.4824926511653326,7.857505994815655,1.9954727159177825,100
200,1000,2,40,1.5,22.035,678.514715606615,4.386311084106946,adaptive,1.398940581370887,0.07669263788992384,1.1610737869573458,0.31893328004931315,100
